time_s,C1(mol/m^3),C2(mol/m^3),J1(mol/s),J2(mol/s),J_left_2D(mol/(m s)),J_right_2D(mol/(m s)),J_left_total(mol/s),J_right_total(mol/s),Int_C_domain(mol),balance(mol),target(mol),residual(mol),relative_residual
31590.0,0.01995143201520223,4.178903328611167e-05,-3.4838183479470805e-13,3.4838183479461036e-13,-6.967636695894161e-11,6.967636695892207e-11,-3.4838183479470805e-13,3.4838183479461036e-13,4.9983052621218215e-09,5.003303567384207e-06,5e-06,3.3035673842068974e-09,0.0006607134768413795
31620.0,0.019951390209557617,4.183083893072192e-05,-3.4838037175218184e-13,3.483803717520858e-13,-6.967607435043637e-11,6.967607435041716e-11,-3.4838037175218184e-13,3.483803717520858e-13,4.998305262121817e-09,5.0033035673842065e-06,5e-06,3.3035673842060504e-09,0.00066071347684121
31650.0,0.019951348404088572,4.187264439976781e-05,-3.4837890871579824e-13,3.483789087157054e-13,-6.967578174315965e-11,6.967578174314108e-11,-3.4837890871579824e-13,3.483789087157054e-13,4.998305262121829e-09,5.0033035673842065e-06,5e-06,3.3035673842060504e-09,0.00066071347684121
31680.0,0.01995130659879509,4.191444969325006e-05,-3.483774456855621e-13,3.48377445685469e-13,-6.967548913711242e-11,6.96754891370938e-11,-3.483774456855621e-13,3.48377445685469e-13,4.998305262121829e-09,5.0033035673842065e-06,5e-06,3.3035673842060504e-09,0.00066071347684121
31710.0,0.019951264793677172,4.195625481116942e-05,-3.4837598266146767e-13,3.4837598266137675e-13,-6.967519653229353e-11,6.967519653227535e-11,-3.4837598266146767e-13,3.4837598266137675e-13,4.998305262121832e-09,5.003303567384208e-06,5e-06,3.3035673842077444e-09,0.0006607134768415488
31740.0,0.019951222988734817,4.199805975352663e-05,-3.483745196435183e-13,3.483745196434282e-13,-6.967490392870365e-11,6.967490392868564e-11,-3.483745196435183e-13,3.483745196434282e-13,4.998305262121832e-09,5.003303567384208e-06,5e-06,3.3035673842077444e-09,0.0006607134768415488
31770.0,0.019951181183968023,4.203986452032243e-05,-3.483730566317133e-13,3.4837305663162385e-13,-6.967461132634266e-11,6.967461132632476e-11,-3.483730566317133e-13,3.4837305663162385e-13,4.998305262121848e-09,5.003303567384208e-06,5e-06,3.3035673842077444e-09,0.0006607134768415488
31800.0,0.019951139379376787,4.208166911155754e-05,-3.483715936260508e-13,3.4837159362596357e-13,-6.967431872521016e-11,6.967431872519271e-11,-3.483715936260508e-13,3.4837159362596357e-13,4.998305262121845e-09,5.003303567384208e-06,5e-06,3.3035673842077444e-09,0.0006607134768415488
31830.0,0.019951097574961114,4.212347352723272e-05,-3.483701306265333e-13,3.483701306264468e-13,-6.967402612530666e-11,6.967402612528936e-11,-3.483701306265333e-13,3.483701306264468e-13,4.998305262121856e-09,5.003303567384209e-06,5e-06,3.3035673842085915e-09,0.0006607134768417183
31860.0,0.019951055770720996,4.2165277767348693e-05,-3.4836866763315784e-13,3.4836866763307413e-13,-6.967373352663156e-11,6.967373352661482e-11,-3.4836866763315784e-13,3.4836866763307413e-13,4.998305262121854e-09,5.003303567384209e-06,5e-06,3.3035673842085915e-09,0.0006607134768417183
